type,unit,label,labelLang,symbol,definition
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/chain,chain,en,ch,The chain is a unit of length defined as 20.1168 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/chain,chain,en,ch,The chain is a unit of length defined as 20.1168 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/cicero,cicero,en,,The cicero is a unit of length defined as 12 point (Didot).
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/cicero,cicero,en,,The cicero is a unit of length defined as 12 point (Didot).
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/cicero,cicero,nl,,The cicero is a unit of length defined as 12 point (Didot).
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/cicero,cicero,nl,,The cicero is a unit of length defined as 12 point (Didot).
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/fathom-USSurvey,fathom (US survey),en,,The US survey fathom is a unit of length defined as 1.828804 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/fathom-USSurvey,fathom (US survey),en,,The US survey fathom is a unit of length defined as 1.828804 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/fermi,fermi,en,,The fermi is a unit of length defined as 1.0e-15 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/fermi,fermi,en,,The fermi is a unit of length defined as 1.0e-15 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/fermi,fermi,nl,,The fermi is a unit of length defined as 1.0e-15 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/fermi,fermi,nl,,The fermi is a unit of length defined as 1.0e-15 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/foot-International,foot (international),en,ft,The international foot is a unit of length defined as 3.048e-1 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/foot-International,foot (international),en,ft,The international foot is a unit of length defined as 3.048e-1 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/foot-International,英尺（国际）,zh,ft,The international foot is a unit of length defined as 3.048e-1 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/foot-International,英尺（国际）,zh,ft,The international foot is a unit of length defined as 3.048e-1 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/foot-USSurvey,foot (US survey),en,ft,The US survey foot is a unit of length defined as 3.048006e-1 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/foot-USSurvey,foot (US survey),en,ft,The US survey foot is a unit of length defined as 3.048006e-1 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/furlong-International,furlong (international),en,,The international furlong is a unit of length defined as 201.168 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/furlong-International,furlong (international),en,,The international furlong is a unit of length defined as 201.168 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/inch-International,inch (international),en,in,The international inch is a unit of length defined as 2.54e-2 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/inch-International,inch (international),en,in,The international inch is a unit of length defined as 2.54e-2 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/inch-International,英寸（国际）,zh,in,The international inch is a unit of length defined as 2.54e-2 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/inch-International,英寸（国际）,zh,in,The international inch is a unit of length defined as 2.54e-2 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/metre,metre,en,m,The metre is a unit of length defined as the length of the path travelled by light in vacuum during a time interval of 1/299 792 458 of a second.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/metre,metre,en,m,The metre is a unit of length defined as the length of the path travelled by light in vacuum during a time interval of 1/299 792 458 of a second.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/metre,meter,nl,m,The metre is a unit of length defined as the length of the path travelled by light in vacuum during a time interval of 1/299 792 458 of a second.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/metre,meter,nl,m,The metre is a unit of length defined as the length of the path travelled by light in vacuum during a time interval of 1/299 792 458 of a second.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/metre,米,zh,m,The metre is a unit of length defined as the length of the path travelled by light in vacuum during a time interval of 1/299 792 458 of a second.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/metre,米,zh,m,The metre is a unit of length defined as the length of the path travelled by light in vacuum during a time interval of 1/299 792 458 of a second.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/micron,micron,en,μ,The micron is a unit of length defined as 1.0e-6 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/micron,micron,en,μ,The micron is a unit of length defined as 1.0e-6 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/micron,micron,nl,μ,The micron is a unit of length defined as 1.0e-6 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/micron,micron,nl,μ,The micron is a unit of length defined as 1.0e-6 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/mil-Length,mil (length),en,,The mil (length) is a unit of length defined as 2.54e-5 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/mil-Length,mil (length),en,,The mil (length) is a unit of length defined as 2.54e-5 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/mile-Statute,mile (statute),en,mi,The statute mile is a unit of length defined as 1.609344e3 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/mile-Statute,mile (statute),en,mi,The statute mile is a unit of length defined as 1.609344e3 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/mile-USSurvey,mile (US survey),en,,The US survey mile is a unit of length defined as 1.609347e3 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/mile-USSurvey,mile (US survey),en,,The US survey mile is a unit of length defined as 1.609347e3 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/nauticalMile-International,nautical mile (international),en,nmi,The international nautical mile is a unit of length defined as 1852 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/nauticalMile-International,nautical mile (international),en,nmi,The international nautical mile is a unit of length defined as 1852 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/nauticalMile-International,zeemijl (internationaal),nl,nmi,The international nautical mile is a unit of length defined as 1852 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/nauticalMile-International,zeemijl (internationaal),nl,nmi,The international nautical mile is a unit of length defined as 1852 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/nauticalMile-International,海里（国际）,zh,nmi,The international nautical mile is a unit of length defined as 1852 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/nauticalMile-International,海里（国际）,zh,nmi,The international nautical mile is a unit of length defined as 1852 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/pica-ATA,pica (ATA),en,,The ATA pica is a unit of length defined as 12 point (ATA).
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/pica-ATA,pica (ATA),en,,The ATA pica is a unit of length defined as 12 point (ATA).
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/pica-Postscript,pica (Postscript),en,,The Postscript pica is a unit of length defined as 12 point (Postscript).
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/pica-Postscript,pica (Postscript),en,,The Postscript pica is a unit of length defined as 12 point (Postscript).
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/pica-TeX,pica (TeX),en,,The TeX pica is a unit of length defined as 12 point (TeX).
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/pica-TeX,pica (TeX),en,,The TeX pica is a unit of length defined as 12 point (TeX).
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/point-ATA,point (ATA),en,pt,The ATA point is a unit of length defined as 0.3514598e-3 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/point-ATA,point (ATA),en,pt,The ATA point is a unit of length defined as 0.3514598e-3 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/point-Didot,point (Didot),en,pt,The Didot point is a unit of length defined as 0.3759e-3 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/point-Didot,point (Didot),en,pt,The Didot point is a unit of length defined as 0.3759e-3 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/point-Postscript,point (Postscript),en,pt,The Postscript point is a unit of length defined as 0.013888888888888888888888888888889 inch.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/point-Postscript,point (Postscript),en,pt,The Postscript point is a unit of length defined as 0.013888888888888888888888888888889 inch.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/point-TeX,point (TeX),en,pt,The TeX point is a unit of length defined as 0.01383700013837000138370001383 inch.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/point-TeX,point (TeX),en,pt,The TeX point is a unit of length defined as 0.01383700013837000138370001383 inch.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/rod-US,rod (US),en,rd,The US rod is a unit of length defined as 5.029210 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/rod-US,rod (US),en,rd,The US rod is a unit of length defined as 5.029210 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/yard-International,yard (international),en,yd,The international yard is a unit of length defined as 9.144e-1 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yard-International,yard (international),en,yd,The international yard is a unit of length defined as 9.144e-1 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/yard-International,码（国际）,zh,yd,The international yard is a unit of length defined as 9.144e-1 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/yard-International,码（国际）,zh,yd,The international yard is a unit of length defined as 9.144e-1 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/angstrom,ångström,en,Å,The ångström is a unit of length defined as 1.0e-10 metre. The unit is often used for wavelengths of electromagnetic radiation or to express the sizes of atoms and molecules.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/angstrom,ångström,en,Å,The ångström is a unit of length defined as 1.0e-10 metre. The unit is often used for wavelengths of electromagnetic radiation or to express the sizes of atoms and molecules.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/angstrom,ångström,nl,Å,The ångström is a unit of length defined as 1.0e-10 metre. The unit is often used for wavelengths of electromagnetic radiation or to express the sizes of atoms and molecules.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/angstrom,ångström,nl,Å,The ångström is a unit of length defined as 1.0e-10 metre. The unit is often used for wavelengths of electromagnetic radiation or to express the sizes of atoms and molecules.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/astronomicalUnit,astronomical unit,en,au,The atronomical unit is a unit of length defined as 149 597 870 700 metre (IAU 2012 Resolution).
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/astronomicalUnit,astronomical unit,en,au,The atronomical unit is a unit of length defined as 149 597 870 700 metre (IAU 2012 Resolution).
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/lightYear,light year,en,ly,The light year is a unit of length defined as 9.46073e15 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/lightYear,light year,en,ly,The light year is a unit of length defined as 9.46073e15 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/lightYear,lichtjaar,nl,ly,The light year is a unit of length defined as 9.46073e15 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/lightYear,lichtjaar,nl,ly,The light year is a unit of length defined as 9.46073e15 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/parsec,parsec,en,pc,The parsec is a unit of length defined as 3.08567758149137e16 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/parsec,parsec,en,pc,The parsec is a unit of length defined as 3.08567758149137e16 metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/acre-International,acre (international),en,ac,The international acre is a unit of area defined as 4.0468564224e3 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/acre-International,acre (international),en,ac,The international acre is a unit of area defined as 4.0468564224e3 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/acre-International,英亩（国际）,zh,ac,The international acre is a unit of area defined as 4.0468564224e3 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/acre-International,英亩（国际）,zh,ac,The international acre is a unit of area defined as 4.0468564224e3 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/acre-USSurvey,acre (US survey),en,ac,The US survey acre is a unit of area defined as 4.046872609874252e3 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/acre-USSurvey,acre (US survey),en,ac,The US survey acre is a unit of area defined as 4.046872609874252e3 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/acre-USSurvey,英亩（美国调查）,zh,ac,The US survey acre is a unit of area defined as 4.046872609874252e3 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/acre-USSurvey,英亩（美国调查）,zh,ac,The US survey acre is a unit of area defined as 4.046872609874252e3 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/are,are,en,a,The are is a unit of area defined as 100 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/are,are,en,a,The are is a unit of area defined as 100 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/are,are,nl,a,The are is a unit of area defined as 100 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/are,are,nl,a,The are is a unit of area defined as 100 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/barn,barn,en,b,The barn is a unit of area defined as 1.0e-28 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/barn,barn,en,b,The barn is a unit of area defined as 1.0e-28 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/circularMil,circular mil,en,,The cicular mil is a unit of area defined as 5.067075e-10 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/circularMil,circular mil,en,,The cicular mil is a unit of area defined as 5.067075e-10 square metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/acreFoot,acre foot,en,,The acre foot is a unit of volume defined as 1.233489e3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/acreFoot,acre foot,en,,The acre foot is a unit of volume defined as 1.233489e3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/barrel-US,barrel (US),en,bbl,The US barrel is a unit of volume defined as 1.589873e-1 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/barrel-US,barrel (US),en,bbl,The US barrel is a unit of volume defined as 1.589873e-1 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/bushel-US,bushel (US),en,bu,The US bushel is a unit of volume defined as 3.523907e-2 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/bushel-US,bushel (US),en,bu,The US bushel is a unit of volume defined as 3.523907e-2 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/cord,cord,en,,The cord is a unit of volume defined as 3.624556 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/cord,cord,en,,The cord is a unit of volume defined as 3.624556 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/cup-USCustomary,cup (US customary),en,,The US customary cup is a unit of volume defined as 2.365882e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/cup-USCustomary,cup (US customary),en,,The US customary cup is a unit of volume defined as 2.365882e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/dryGallon-US,dry gallon (US),en,gal,The US dry gallon is a unit of volume defined as 4.40488377086e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/dryGallon-US,dry gallon (US),en,gal,The US dry gallon is a unit of volume defined as 4.40488377086e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/dryPint-US,dry pint (US),en,dry pt,The US dry pint is a unit of volume defined as 5.506105e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/dryPint-US,dry pint (US),en,dry pt,The US dry pint is a unit of volume defined as 5.506105e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/dryQuart-US,dry quart (US),en,dry qt,The US dry quart is a unit of volume defined as 1.101221e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/dryQuart-US,dry quart (US),en,dry qt,The US dry quart is a unit of volume defined as 1.101221e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/fluidOunce-Imperial,fluid ounce (imperial),en,fl oz,The imperial fluid ounce is a unit of volume defined as 2.841306e-5 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/fluidOunce-Imperial,fluid ounce (imperial),en,fl oz,The imperial fluid ounce is a unit of volume defined as 2.841306e-5 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/fluidOunce-US,fluid ounce (US),en,fl oz,The US fluid ounce is a unit of volume defined as 2.957353e-5 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/fluidOunce-US,fluid ounce (US),en,fl oz,The US fluid ounce is a unit of volume defined as 2.957353e-5 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/gallon-Imperial,gallon (imperial),en,gal,The imperial gallon is a unit of volume defined as 4.54609e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/gallon-Imperial,gallon (imperial),en,gal,The imperial gallon is a unit of volume defined as 4.54609e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/gallon-US,gallon (US),en,gal,The US gallon is a unit of volume defined as 3.785412e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/gallon-US,gallon (US),en,gal,The US gallon is a unit of volume defined as 3.785412e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/gill-Imperial,gill (imperial),en,gi,The imperial gill is a unit of volume defined as 1.420653e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/gill-Imperial,gill (imperial),en,gi,The imperial gill is a unit of volume defined as 1.420653e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/gill-US,gill (US),en,gi,The US gill is a unit of volume defined as 1.182941e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/gill-US,gill (US),en,gi,The US gill is a unit of volume defined as 1.182941e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/litre,litre,en,l,The litre is a unit of volume defined as 1.0e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/litre,litre,en,l,The litre is a unit of volume defined as 1.0e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/litre,liter,nl,l,The litre is a unit of volume defined as 1.0e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/litre,liter,nl,l,The litre is a unit of volume defined as 1.0e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/litre,升,zh,l,The litre is a unit of volume defined as 1.0e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/litre,升,zh,l,The litre is a unit of volume defined as 1.0e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/liquidPint-US,liquid pint (US),en,liq pt,The US liquid pint is a unit of volume defined as 4.731765e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/liquidPint-US,liquid pint (US),en,liq pt,The US liquid pint is a unit of volume defined as 4.731765e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/liquidQuart-US,liquid quart (US),en,liq qt,The US liquid quart is a unit of volume defined as 9.463529e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/liquidQuart-US,liquid quart (US),en,liq qt,The US liquid quart is a unit of volume defined as 9.463529e-4 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,http://www.ontology-of-units-of-measure.org/resource/om-2/peck-US,peck (US),en,pk,The US peck is a unit of volume defined as 8.809768e-3 cubic metre.
http://www.ontology-of-units-of-measure.org/resource/om-2/SingularUnit,http://www.ontology-of-units-of-measure.org/resource/om-2/peck-US,peck (US),en,pk,The US peck is a unit of volume defined as 8.809768e-3 cubic metre.
